Ukprn,Provider,Award,Date
"10005127","Plymouth College of Art","Bronze","June 2018"
"10019178","Point Blank Limited","Silver","June 2019"
"10007155","University of Portsmouth","Gold","June 2017"
"10005200","Preston College","Bronze","June 2018"
"10007775","Queen Mary University of London","Silver","June 2017"
"10032282","The Queen's Foundation for Ecumenical Theological Education","Silver","June 2019"
"10005389","Ravensbourne University London","Silver","June 2017"
"10007802","The University of Reading","Silver","June 2017"
"10005404","Reaseheath College","Silver","June 2019"
"10005470","Richmond, the American International University in London, Inc.","Provisional","June 2019"
"10002863","Riverside College","Gold","June 2019"
"10005534","RNN Group","Gold","June 2019"
"10005500","The Robert Gordon University","Gold","June 2017"
"10007776","Roehampton University","Silver","June 2019"
"10005523","Rose Bruford College of Theatre and Performance","Gold","June 2017"
"10009292","Royal Academy of Dramatic Art","Gold","October 2019"
"10007835","The Royal Academy of Music","Gold","June 2018"
"10005545","The Royal Agricultural University","Silver","June 2017"
"10007816","The Royal Central School of Speech and Drama","Gold","June 2017"
"10007778","Royal College of Music","Gold","June 2017"
"10005553","Royal Holloway, University of London","Silver","June 2017"
"10007837","Royal Northern College of Music","Gold","June 2017"
"10007779","The Royal Veterinary College","Gold","June 2017"
"10008455","RTC Education Ltd","Bronze","June 2019"
"10007839","SAE Education Limited","Bronze","June 2019"
"10007156","The University of Salford","Bronze","June 2019"
"10005032","Salford City College","Bronze","June 2017"
"10005741","Selby College","Silver","June 2017"
"10007157","The University of Sheffield","Silver","June 2019"
"10005790","Sheffield Hallam University","Silver","June 2017"
"10005822","Shrewsbury Colleges Group","Bronze","June 2019"
"10000952","The SMB Group","Bronze","June 2017"
"10006022","Solent University, Southampton","Silver","June 2018"
"10005946","Solihull College and University Centre","Silver","June 2017"
"10005967","South & City College Birmingham","Bronze","June 2018"
"10005977","South Devon College","Gold","June 2017"
"10005981","South Essex College of Further and Higher Education","Bronze","June 2019"
"10003674","South Thames Colleges Group","Bronze","June 2018"
"10007158","University of Southampton","Silver","June 2018"
"10006038","Southport College","Bronze","June 2017"
"10006050","Sparsholt College","Gold","June 2018"
"10006093","Spurgeon's College","Provisional","June 2020"
"10007803","University of St Andrews","Gold","June 2017"
"10037449","University of St Mark & St John","Silver","June 2017"
"10006226","St Mary's College","Bronze","June 2019"
"10007843","St Mary's University, Twickenham","Silver","June 2017"
"10030776","St Mellitus College Trust","Gold","June 2019"
"10007782","St. George's, University of London","Bronze","June 2017"
"10045289","St. Nicholas Montessori Training Limited","Bronze","June 2019"
"10006299","Staffordshire University","Gold","June 2019"
"10006378","Strode College","Silver","June 2017"
"10014001","University of Suffolk","Bronze","June 2017"
"10007159","University of Sunderland","Silver","June 2017"
"10007160","The University of Surrey","Gold","June 2017"
"10007806","University of Sussex","Silver","June 2019"
"10007855","Swansea University","Gold","June 2018"
"10006463","Swindon College","Silver","June 2019"
"10007938","TEC Partnership","Silver","June 2018"
"10007161","Teesside University","Silver","June 2019"
"10005998","The Trafford College Group","Bronze","June 2019"
"10008017","Trinity Laban Conservatoire of Music and Dance","Silver","June 2018"
"10007063","Truro and Penwith College","Gold","June 2017"
"10005999","Tyne Coast College","Silver","June 2018"
"10015506","UCK Limited","Bronze","June 2019"
"10005736","Unified Seevic Palmer's College","Silver","June 2019"
"10007289","Wakefield College","Silver","June 2017"
"10007858","University of Wales Trinity Saint David","Silver","June 2019"
"10007163","The University of Warwick","Silver","June 2018"
"10007859","Warwickshire College","Bronze","June 2017"
"10007417","West Herts College","Silver","October 2019"
"10006566","The University of West London","Silver","June 2017"
"10007427","West Nottinghamshire College","Silver","June 2018"
"10007164","University of the West of England, Bristol","Gold","June 2018"
"10007165","The University of Westminster","Bronze","June 2017"
"10007459","Weston College of Further and Higher Education","Gold","June 2017"
"10007500","Wigan and Leigh College","Silver","June 2017"
"10007527","Wiltshire College and University Centre","Bronze","June 2017"
"10003614","University of Winchester","Silver","June 2017"
"10007166","University of Wolverhampton","Silver","June 2018"
"10007139","University of Worcester","Silver","June 2017"
"10007833","Wrexham Glyndŵr University","Silver","June 2017"
"10007657","Writtle University College","Bronze","June 2017"
"10007696","Yeovil College","Provisional","June 2019"
"10007167","University of York","Gold","June 2018"
"10007709","York College","Silver","June 2017"
"10007713","York St John University","Bronze","June 2017"
